timestamp,device_id,sensor_type,value
2003-10-22 12:06:24,BEARING_4,vibration,0.101038
2003-10-22 12:09:13,BEARING_4,vibration,0.097972
2003-10-22 12:14:13,BEARING_4,vibration,0.101102
2003-10-22 12:19:13,BEARING_4,vibration,0.10168
2003-10-22 12:24:13,BEARING_4,vibration,0.101412
2003-10-22 12:29:13,BEARING_4,vibration,0.106503
2003-10-22 12:34:13,BEARING_4,vibration,0.068863
2003-10-22 12:39:13,BEARING_4,vibration,0.104109
2003-10-22 12:44:13,BEARING_4,vibration,0.085037
2003-10-22 12:49:13,BEARING_4,vibration,0.095001
2003-10-22 12:54:13,BEARING_4,vibration,0.111343
2003-10-22 12:59:13,BEARING_4,vibration,0.093925
2003-10-22 13:04:13,BEARING_4,vibration,0.100522
2003-10-22 13:09:13,BEARING_4,vibration,0.1009
2003-10-22 13:14:13,BEARING_4,vibration,0.100509
2003-10-22 13:19:13,BEARING_4,vibration,0.101048
2003-10-22 13:24:13,BEARING_4,vibration,0.100982
2003-10-22 13:29:13,BEARING_4,vibration,0.102184
2003-10-22 13:34:13,BEARING_4,vibration,0.101118
2003-10-22 13:39:13,BEARING_4,vibration,0.067537
2003-10-22 13:44:13,BEARING_4,vibration,0.101069
2003-10-22 13:49:13,BEARING_4,vibration,0.101229
2003-10-22 13:54:13,BEARING_4,vibration,0.099777
2003-10-22 13:59:13,BEARING_4,vibration,0.120398
2003-10-22 14:04:13,BEARING_4,vibration,0.165608
2003-10-22 14:09:13,BEARING_4,vibration,0.099453
2003-10-22 14:14:13,BEARING_4,vibration,0.101103
2003-10-22 14:19:13,BEARING_4,vibration,0.102039
2003-10-22 14:24:13,BEARING_4,vibration,0.100373
2003-10-22 14:29:13,BEARING_4,vibration,0.102827
2003-10-22 14:34:13,BEARING_4,vibration,0.1023
2003-10-22 14:39:13,BEARING_4,vibration,0.102117
2003-10-22 14:44:13,BEARING_4,vibration,0.101361
2003-10-22 14:49:13,BEARING_4,vibration,0.105488
2003-10-22 14:54:13,BEARING_4,vibration,0.105054
2003-10-22 14:59:13,BEARING_4,vibration,0.099473
2003-10-22 15:04:13,BEARING_4,vibration,0.088233
2003-10-22 15:09:13,BEARING_4,vibration,0.100527
2003-10-22 15:14:13,BEARING_4,vibration,0.100485
2003-10-22 15:19:13,BEARING_4,vibration,0.09884
2003-10-22 15:24:13,BEARING_4,vibration,0.101727
2003-10-22 15:29:13,BEARING_4,vibration,0.077773
2003-10-22 15:37:48,BEARING_4,vibration,0.099109
2003-10-22 15:44:13,BEARING_4,vibration,0.101028
2003-10-22 15:54:13,BEARING_4,vibration,0.101368
2003-10-22 16:04:13,BEARING_4,vibration,0.104494
2003-10-22 16:14:13,BEARING_4,vibration,0.100819
2003-10-22 16:24:13,BEARING_4,vibration,0.099274
2003-10-22 16:34:13,BEARING_4,vibration,0.103084
2003-10-22 16:44:13,BEARING_4,vibration,0.102111
2003-10-22 16:54:13,BEARING_4,vibration,0.102124
2003-10-22 17:04:13,BEARING_4,vibration,0.101724
2003-10-22 17:14:13,BEARING_4,vibration,0.101736
2003-10-22 17:19:38,BEARING_4,vibration,0.100133
2003-10-22 17:24:13,BEARING_4,vibration,0.102526
2003-10-22 17:34:13,BEARING_4,vibration,0.10118
2003-10-22 17:44:13,BEARING_4,vibration,0.102456
2003-10-22 17:54:13,BEARING_4,vibration,0.102477
2003-10-22 18:04:13,BEARING_4,vibration,0.102389
2003-10-22 18:14:13,BEARING_4,vibration,0.102141
2003-10-22 18:24:13,BEARING_4,vibration,0.102091
2003-10-22 18:34:13,BEARING_4,vibration,0.102536
2003-10-22 18:44:13,BEARING_4,vibration,0.101956
2003-10-22 18:54:13,BEARING_4,vibration,0.102556
2003-10-22 19:04:13,BEARING_4,vibration,0.101776
2003-10-22 19:14:13,BEARING_4,vibration,0.102446
2003-10-22 19:24:13,BEARING_4,vibration,0.102617
2003-10-22 19:34:13,BEARING_4,vibration,0.102312
2003-10-22 19:44:13,BEARING_4,vibration,0.102505
2003-10-22 19:54:13,BEARING_4,vibration,0.101932
2003-10-22 20:04:13,BEARING_4,vibration,0.102281
2003-10-22 20:14:13,BEARING_4,vibration,0.102266
2003-10-22 20:24:13,BEARING_4,vibration,0.102602
2003-10-22 20:34:13,BEARING_4,vibration,0.102137
